inc_id,cre_dttm,restore_dttm,affected_cust
2005419131,2017-09-12 17:21:47,2017-09-14 15:00:00,3
2005419279,2017-09-12 17:42:57,2017-09-15 10:53:07,14
2005419368,2017-09-12 18:04:06,2017-09-17 09:34:46,9
2005419380,2017-09-12 18:06:34,2017-09-16 17:23:00,28
2005419472,2017-09-12 18:29:01,2017-09-14 08:16:02,11
2005419532,2017-09-12 18:44:27,2017-09-15 20:19:41,2
2005419717,2017-09-12 19:26:35,2017-09-14 21:25:16,16
2005419733,2017-09-12 19:33:23,,355
2005419868,2017-09-12 19:36:58,2017-11-08 15:31:02,7
2005419774,2017-09-12 19:45:36,2017-09-15 08:15:14,5
2005419950,2017-09-12 20:18:20,2017-09-17 11:45:50,5
2005437532,2017-09-12 20:22:48,2017-09-27 09:37:28,621
2005424065,2017-09-12 20:55:43,2017-09-15 21:09:18,12
2005420362,2017-09-12 21:57:15,2017-09-15 13:37:38,41
2005420384,2017-09-12 22:04:30,2017-09-17 08:11:42,9
2005424948,2017-09-12 22:16:09,2017-09-15 02:52:39,122
2005420645,2017-09-13 01:31:19,2017-09-13 01:51:24,1580
2005421281,2017-09-13 07:43:06,2017-09-13 21:38:35,20
2005421108,2017-09-13 08:18:56,2017-09-15 22:00:00,3
2005421406,2017-09-13 08:44:13,2017-09-17 07:20:53,4
2005421360,2017-09-13 09:09:56,2017-09-13 18:23:54,2
2005421394,2017-09-13 09:18:03,2017-10-22 20:03:22,2
2005421503,2017-09-13 09:37:41,2017-10-11 12:59:22,3
2005421512,2017-09-13 09:40:51,2017-09-14 16:03:57,156
2005421557,2017-09-13 09:50:23,2017-09-13 20:57:31,8
2005421642,2017-09-13 10:09:21,2017-09-16 16:28:07,2
2005421833,2017-09-13 10:51:43,2017-09-16 14:57:30,5
2005422146,2017-09-13 11:56:01,2017-09-14 19:53:51,4
2005422308,2017-09-13 12:32:15,2017-09-14 11:34:31,71
2005422373,2017-09-13 12:51:18,2017-09-14 13:33:59,2
2005422514,2017-09-13 13:21:33,2017-09-14 13:54:52,2
2005422551,2017-09-13 13:32:11,2017-09-16 14:57:33,4
2005422564,2017-09-13 13:36:01,2017-09-17 18:21:04,4
2005422618,2017-09-13 13:51:36,2017-09-15 17:59:59,21
2005422690,2017-09-13 14:06:26,2017-09-16 09:51:15,2
2005422709,2017-09-13 14:10:52,2017-09-15 06:04:16,5
2005422783,2017-09-13 14:30:48,2017-09-13 17:58:43,2
2005423294,2017-09-13 15:35:16,2018-01-09 07:24:37,7
2005423108,2017-09-13 15:37:29,2017-09-16 18:27:25,7
2005423111,2017-09-13 15:38:13,2017-09-17 18:03:55,7
2005423115,2017-09-13 15:39:11,2017-09-17 14:47:00,10
2005423160,2017-09-13 15:46:43,2017-09-14 20:51:53,3
2005423234,2017-09-13 16:09:35,2017-09-15 13:36:26,12
2005423255,2017-09-13 16:17:30,2017-09-17 08:19:29,14
2005423257,2017-09-13 16:18:03,2017-09-17 18:25:06,7
2005423332,2017-09-13 16:30:02,2017-09-16 18:36:09,10
